trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",20,0,-183.1919048035936,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9801}",20,0,-129.5301217226527,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.9702989999999999}",30,0,-193.15898455673056,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.7, 'e': 0.96059601}",25,0,-143.66255887154583,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.9509900498999999}",25,0,-129.94727329309168,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.9414801494009999}",20,0,-28.482129518185115,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.9320653479069899}",25,0,-155.40596441147946,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.92274469442792}",25,0,-114.98526775161596,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9135172474836407}",25,0,-148.63567983816185,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.9043820750088043}",25,0,-57.46559143433118,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.8953382542587163}",20,0,-92.12929017570875,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.8863848717161291}",20,0,-30.174008407602045,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.8775210229989678}",25,0,-239.69772679954377,"{0: 11, 1: 6, 2: 2, 3: 2, 4: 4}",0
14,False,"{'a': 0.7, 'e': 0.8687458127689781}",25,0,-69.79812821649962,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.8600583546412883}",30,7,-133.63493843351782,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 1}",1
