trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,6,-2.275274050631049,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,-18,-286.56692220440556,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,13,-123.54618916175828,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,1,-160.75575423896322,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,-63,-420.0186395872292,"{0: 59, 1: 14, 2: 16, 3: 4, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-27,-112.92839302752954,"{0: 39, 1: 6, 2: 11, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-625.9935671019223,"{0: 77, 1: 10, 2: 23, 3: 8, 4: 7}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-1021.9385339636468,"{0: 71, 1: 14, 2: 21, 3: 6, 4: 18}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-635.5940045689305,"{0: 72, 1: 10, 2: 26, 3: 3, 4: 9}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-10,-115.64191360714494,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-574.8807591826956,"{0: 72, 1: 15, 2: 22, 3: 3, 4: 8}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-619.5002114935329,"{0: 74, 1: 13, 2: 18, 3: 6, 4: 9}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-32,-360.9024053927161,"{0: 34, 1: 7, 2: 14, 3: 2, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,-100,-957.0169067225081,"{0: 68, 1: 17, 2: 21, 3: 10, 4: 14}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-8,-198.3133243127714,"{0: 16, 1: 6, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-43,-394.37048304984586,"{0: 39, 1: 8, 2: 13, 3: 2, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-737.0224991702166,"{0: 69, 1: 23, 2: 14, 3: 9, 4: 10}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-777.2809091591162,"{0: 62, 1: 15, 2: 23, 3: 12, 4: 8}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,-78,-594.853041304588,"{0: 58, 1: 19, 2: 19, 3: 4, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-7,-223.79153476688907,"{0: 9, 1: 4, 2: 11, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-8,-125.9263207864012,"{0: 15, 1: 7, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,-100,-584.1638065641349,"{0: 86, 1: 9, 2: 21, 3: 6, 4: 8}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-10,-177.78736171745308,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-41,-363.1589088384106,"{0: 38, 1: 3, 2: 12, 3: 2, 4: 6}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-83,-563.1057983964746,"{0: 58, 1: 17, 2: 16, 3: 4, 4: 8}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-97,-546.2304592822586,"{0: 68, 1: 16, 2: 22, 3: 5, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-409.7176231746351,"{0: 81, 1: 20, 2: 15, 3: 4, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-32,-146.23743346895398,"{0: 31, 1: 9, 2: 11, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-31,-312.4613964057844,"{0: 27, 1: 5, 2: 11, 3: 5, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-690.5664630018588,"{0: 68, 1: 14, 2: 25, 3: 3, 4: 10}",0
