trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",25,0,-91.68676441324695,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9801}",30,0,-116.90562738773116,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.9702989999999999}",25,0,-232.02105746905997,"{0: 11, 1: 4, 2: 2, 3: 6, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.96059601}",20,0,-165.7041469084745,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.9509900498999999}",20,0,-132.57706120694542,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.9414801494009999}",25,0,-65.17278562621566,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.9320653479069899}",30,0,-258.9037915074125,"{0: 17, 1: 1, 2: 5, 3: 3, 4: 4}",0
8,False,"{'a': 0.7, 'e': 0.92274469442792}",25,14,-70.4690641653419,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.9135172474836407}",20,0,-48.277469520939114,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9043820750088043}",20,0,-119.70439444666195,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.8953382542587163}",25,0,-172.62866386614215,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.7, 'e': 0.8863848717161291}",20,0,-142.1504566225837,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.8775210229989678}",20,0,-108.73747218768773,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.8687458127689781}",25,0,-232.66007855683299,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
15,False,"{'a': 0.7, 'e': 0.8600583546412883}",25,0,-71.92551852843326,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.8514577710948754}",25,0,-118.30337851073,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.8429431933839266}",20,0,-130.06459428289978,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.7, 'e': 0.8345137614500874}",20,0,-111.99723049693701,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.8261686238355865}",25,0,-46.43823036713785,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.8179069375972307}",30,0,-211.3828141457954,"{0: 14, 1: 4, 2: 9, 3: 0, 4: 3}",0
21,False,"{'a': 0.7, 'e': 0.8097278682212583}",30,13,-63.69765036759527,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.8016305895390458}",25,13,-105.05824951402397,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 2}",1
23,False,"{'a': 0.7, 'e': 0.7936142836436553}",20,0,-190.82507183054162,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
